Id,Prices,Volumes,Market_Cap,Date
bitcoin,47371.03933236471,26163167368.59442,891560241243.0585,2021-09-20
bitcoin,42932.94659595412,41220025453.5186,805826302811.3501,2021-09-21
bitcoin,40386.62363528928,45940419565.082825,760802031650.6051,2021-09-22
bitcoin,43587.22305058473,36624234960.05299,820460824050.9529,2021-09-23
bitcoin,44980.898214810935,33594750549.99859,846615719473.8734,2021-09-24
bitcoin,42752.1681545072,42973070342.650276,809772498812.6799,2021-09-25
bitcoin,42856.855164224515,30898116660.05655,808279417023.3408,2021-09-26
bitcoin,43336.861233242744,30462815705.283737,825341135635.7169,2021-09-27
bitcoin,42247.355729006355,30483144439.45263,794889951096.439,2021-09-28
bitcoin,41010.37519836549,29691944223.292786,775534111089.4891,2021-09-29
bitcoin,41587.66786232295,30068690311.96594,782626384092.2843,2021-09-30
bitcoin,43859.32614724109,30859918334.565014,827840965059.6127,2021-10-01
bitcoin,48181.87627260008,42089383189.81192,906929641888.8245,2021-10-02
bitcoin,47777.762019063,29742127387.956066,900582483713.1118,2021-10-03
bitcoin,48282.97113857447,26034594561.963406,910331395887.4816,2021-10-04
bitcoin,49260.232321130694,32691763060.319107,927812140868.0522,2021-10-05
bitcoin,51668.99422435564,35480330025.02791,973040988102.9114,2021-10-06
bitcoin,55415.00574202895,48462388015.80152,1044675252844.3663,2021-10-07
bitcoin,53894.59599452107,36549815857.28183,1015246512238.866,2021-10-08
bitcoin,54010.93747374405,33935485256.826164,1016650501581.1074,2021-10-09
bitcoin,55125.460337680444,31927344846.446766,1038524699061.4408,2021-10-10
bitcoin,54711.86959664297,38579271671.06987,1030788036761.6326,2021-10-11
bitcoin,57572.510855596534,41913482915.37917,1084736227837.6608,2021-10-12
bitcoin,56335.035460511535,40021384610.698265,1061829863954.1321,2021-10-13
bitcoin,57487.985880422195,41216945749.34656,1083366079898.5513,2021-10-14
bitcoin,57452.43178503547,35994603913.188385,1082900149762.5826,2021-10-15
bitcoin,61809.02394427028,53653355008.40819,1164782155730.3254,2021-10-16
bitcoin,61165.63564211521,35385452268.77726,1153847028824.7434,2021-10-17
bitcoin,61583.77443961336,29625957541.677635,1160650121141.9934,2021-10-18
bitcoin,62017.972725178704,39610183787.235275,1173944883529.633,2021-10-19
bitcoin,64517.64856042277,42550624869.2941,1217582580302.557,2021-10-20
